Name,HexaDecimal Code,Comment lookup
ca_halant_cha_ba-beng,,cjct
ca_halant_cha_halant_ra-beng,,cjct
ca_halant_cha-beng,,cjct
ca_halant_nya-beng,,cjct
cha_halant_ba-beng,,cjct
ja_halant_ba-beng,,cjct
ja_halant_ja_halant_ba-beng,,cjct
ja_halant_ja-beng,,cjct
ja_halant_jha-beng,,cjct
nna_halant_ttha-beng,,cjct
nya_halant_ca-beng,,cjct
nya_halant_cha-beng,,cjct
nya_halant_ja-beng,,cjct
nya_halant_jha-beng,,cjct
tta_halant_ba-beng,,cjct
tta_halant_ma-beng,,cjct
tta_halant_tta-beng,,cjct
dda_halant_dda-beng,,cjct
dda_halant_ba-beng,,cjct
nna_halant_ba-beng,,cjct
nna_halant_dda_halant_ra-beng,,cjct
nna_halant_dda-beng,,cjct
nna_halant_ddha-beng,,cjct
nna_halant_ma-beng,,cjct
nna_halant_nna-beng,,cjct
nna_halant_tta-beng,,cjct
ta_halant _ta_halant_ra-beng,,cjct
ta_halant_ba-beng,,cjct
ta_halant_ma-beng,,cjct
ta_halant_na-beng,,cjct
ta_halant_ta_ba-beng,,cjct
ta_halant_ta-beng,,cjct
ta_halant_tha-beng,,cjct
tha_halant_ba-beng,,cjct
da_halant_ba-beng,,cjct
da_halant_bha_halant_ra-beng,,cjct
da_halant_bha-beng,,cjct
da_halant_da_ba-beng,,cjct
da_halant_da-beng,,cjct
da_halant_dha_ba-beng,,cjct
da_halant_dha-beng,,cjct
da_halant_ga-beng,,cjct
da_halant_gha-beng,,cjct
da_halant_ma-beng,,cjct
da_halant_na-beng,,cjct
dha_halant_ba-beng,,cjct
dha_halant_ma-beng,,cjct
dha_halant_na-beng,,cjct
na_halant_ba-beng,,cjct
na_halant_ca-beng,,cjct
na_halant_da_ba-beng,,cjct
na_halant_da_ra-beng,,cjct
na_halant_da-beng,,cjct
na_halant_dda_halant_ra-beng,,cjct
na_halant_dda-beng,,cjct
na_halant_dha_ra-beng,,cjct
na_halant_dha-beng,,cjct
na_halant_ka_halant_ra-beng,,cjct
na_halant_ka-beng,,cjct
na_halant_ma-beng,,cjct
na_halant_na-beng,,cjct
na_halant_sa-beng,,cjct
na_halant_tha-beng,,cjct
na_halant_tta_halant_ra-beng,,cjct
na_halant_tta-beng,,cjct
na_halant_ttha_halant_ra-beng,,cjct
na_halant_ttha-beng,,cjct
na_halant._ta-beng,,cjct
na_halant_ta_ba-beng,,cjct
pa_halant_ba-beng,,cjct
pa_halant_la-beng,,cjct
pa_halant_ma-beng,,cjct
pa_halant_na-beng,,cjct
pa_halant_pa-beng,,cjct
pa_halant_sa-beng,,cjct
pa_halant_ta_ra-beng,,cjct
pa_halant_ta-beng,,cjct
pa_halant_tta-beng,,cjct
pha_halant_la-beng,,cjct
ba_halant_ba-beng,,cjct
ba_halant_bha-beng,,cjct
ba_halant_da_halant_ra-beng,,cjct
ba_halant_da-beng,,cjct
ba_halant_dha-beng,,cjct
ba_halant_ja-beng,,cjct
ba_halant_la-beng,,cjct
ba_halant_na-beng,,cjct
ma_halant_ba-beng,,cjct
ma_halant_bha_halant_ra-beng,,cjct
ma_halant_bha-beng,,cjct
ma_halant_da-beng,,cjct
ma_halant_ha-beng,,cjct
ma_halant_la-beng,,cjct
ma_halant_ma-beng,,cjct
ma_halant_na-beng,,cjct
ma_halant_pa_ra-beng,,cjct
ma_halant_pa-beng,,cjct
ma_halant_pha-beng,,cjct
ma_halant_ta_halant_ra-beng,,cjct
ma_halant_ta-beng,,cjct
ra_zwnj_halant_ya-beng,,cjct
la_halant_ba-beng,,cjct
la_halant_bha-beng,,cjct
la_halant_dda-beng,,cjct
la_halant_dha-beng,,cjct
la_halant_ka-beng,,cjct
la_halant_la-beng,,cjct
la_halant_ma-beng,,cjct
la_halant_pa-beng,,cjct
la_halant_pha-beng,,cjct
la_halant_ta-beng,,cjct
la_halant_tta-beng,,cjct
la_halant._ga-beng,,cjct
sha_halant_ba-beng,,cjct
sha_halant_ca-beng,,cjct
sha_halant_cha-beng,,cjct
sha_halant_la-beng,,cjct
sha_halant_ma-beng,,cjct
sha_halant_na-beng,,cjct
sha_halant_ta-beng,,cjct
ssa_halant_ba-beng,,cjct
ssa_halant_ka_halant_ra-beng,,cjct
ssa_halant_ka-beng,,cjct
ssa_halant_kha-beng,,cjct
ssa_halant_ma-beng,,cjct
ssa_halant_nna-beng,,cjct
ssa_halant_pa_ra-beng,,cjct
ssa_halant_pha-beng,,cjct
ssa_halant_tta_ra-beng,,cjct
ssa_halant_tta-beng,,cjct
ssa_halant_ttha-beng,,cjct
ssa_halant._pa-beng,,cjct
sa_halant_ba-beng,,cjct
sa_halant_ka_ra-beng,,cjct
sa_halant_ka-beng,,cjct
sa_halant_kha-beng,,cjct
sa_halant_la-beng,,cjct
sa_halant_ma-beng,,cjct
sa_halant_na-beng,,cjct
sa_halant_pa_ra-beng,,vatu
sa_halant_pa-beng,,cjct
sa_halant_pha-beng,,cjct
sa_halant_ta_ra-beng,,cjct
sa_halant_ta-beng,,cjct
sa_halant_tha-beng,,cjct
sa_halant_tta-beng,,cjct
sa_halant.tta_ra-beng,,cjct
rra_halant_ga-beng,,cjct
ha_halant_ba-beng,,cjct
ha_halant_la-beng,,cjct
ha_halant_ma-beng,,cjct
ha_halant_na-beng,,cjct
ha_halant_nna-beng,,cjct
# Half Forms,,
k-beng,,half
kh-beng,,half
g-beng,,half
gh-beng,,half
ng-beng,,half
c-beng,,half
ch-beng,,half
j-beng,,half
jh-beng,,half
ny-beng,,half
tt-beng,,half
tth-beng,,half
dd-beng,,half
ddh-beng,,half
nn-beng,,half
t-beng,,half
th-beng,,half
d-beng,,half
dh-beng,,half
n-beng,,half
p-beng,,half
ph-beng,,half
b-beng,,half
bh-beng,,half
m-beng,,half
y-beng,,half
r-beng,,half
sh-beng,,half
ss-beng,,half
s-beng,,half
h-beng,,half
rr-beng,,half
rh-beng,,half
y-beng,,half
# Halant Forms ,,
ka_halant-beng,,haln
kha_halant-beng,,haln
kha_halant-beng,,haln
gha_halant-beng,,haln
nga_halant-beng,,haln
ca_halant-beng,,haln
cha_halant-beng,,haln
ja_halant-beng,,haln
jha_halant-beng,,haln
nya_halant-beng,,haln
tta_halant-beng,,haln
ttha_halant-beng,,haln
dda_halant-beng,,haln
ddha_halant-beng,,haln
nna_halant-beng,,haln
ta_halant-beng,,haln
tha_halant-beng,,haln
da_halant-beng,,haln
dha_halant-beng,,haln
na_halant-beng,,haln
pa_halant-beng,,haln
pha_halant-beng,,haln
ba_halant-beng,,haln
bha_halant-beng,,haln
ma_halant-beng,,haln
ya_halant-beng,,haln
ra_halant-beng,,haln
la_halant-beng,,haln
sha_halant-beng,,haln
ssa_halant-beng,,haln
sa_halant-beng,,haln
ha_halant-beng,,haln
rra_halant-beng,,haln
rha_halant-beng,,haln
ja_halant_nya_halant-beng,,haln
ka_halant_ssa_halant-beng,,haln
# Below Base Substitutions ,,
sa_halant_ta_uMatra-beng,,blws
as_ra_uMatra-beng,,blws
as_ra_uuMatra-beng,,blws
ga_halant_ra_uMatra-beng,,blws
ga_halant_ra_uuMatra-beng,,blws
dha_halant_ra_uMatra-beng,,blws
dha_halant_ra_uuMatra-beng,,blws
pa_halant_ra_uMatra-beng,,blws
pa_halant_ra_uuMatra-beng,,blws
tha_halant_ra_uMatra-beng,,blws
tha_halant_ra_uuMatra-beng,,blws
ba_halant_ra_uMatra-beng,,blws
ba_halant_ra_uuMatra-beng,,blws
la_halant_ga_uMatra-beng,,blws
ga_uMatra-beng,,blws
sha_uMatra-beng,,blws
ra_uMatra-beng,,blws
ra_uuMatra-beng,,blws
ta_halant_ra_uMatra-beng,,blws
ta_halant_ra_uuMatra-beng,,blws
da_halant_ra_uMatra-beng,,blws
da_halant_ra_uuMatra-beng,,blws
bha_halant_ra_uMatra-beng,,blws
bha_halant_ra_uuMatra-beng,,blws
sha_halant_ra_uMatra-beng,,blws
sha_halant_ra_uuMatra-beng,,blws
ha_uMatra-beng,,blws
ha_riMatra-beng,,blws
# Above base Substitutions ,,
i_candraBindu-beng,,abvs
ii_candraBindu-beng,,abvs
u_candraBindu-beng,,abvs
uu_candraBindu-beng,,abvs
tta_candraBindu-beng,,abvs
ttha_candraBindu-beng,,abvs
iiMatra_candraBindu-beng,,abvs
iiMatra_reph-beng,,abvs
iMatra_candraBindu-beng,,abvs
iiMatra_reph-beng,,abvs
auLength_candraBindu-beng,,abvs
auLength_reph-beng,,abvs
# Alternative Fractions ,,
one_slash_two-beng.afrc,,afrc
one_slash_three-beng.afrc,,afrc
one_slash_four-beng.afrc,,afrc
one_slash_eight-beng.afrc,,afrc
two_slash_three-beng.afrc,,afrc
three_slash_four-beng.afrc,,afrc
# Stylistic Alternates (Modern Forms),,
ka_halant_ta-beng.salt,,
ha_halant_ma-beng.salt,,
nga_halant_ga-beng.salt,,
ka_ halant_ra-beng.salt,,
nga_halant_ka-beng.salt,,
ta_halant_ra-beng.salt,,
sa_halant_ka_halant_ra-beng.salt,,
sa_halant_ta_halant_ra-beng.salt,,
iMatra-beng.salt,,
iiMatra-beng.salt,,
candraBindu-beng.salt,,
nya_halant_ca-beng.salt,,
